Geneid	/ufrc/jkim6/share/braskey/data/PRJNA549285/TopHat/alignments/SRR9313226.sam
AT1G10455	0
AT1G10460	15
AT1G10470	1125
AT1G10480	118
AT1G10490	117
AT1G10500	585
AT1G10510	769
AT1G10520	32
AT1G10522	202
AT1G10530	41
AT1G10540	12
AT1G10550	305
AT1G10560	63
AT1G10570	381
AT1G10580	513
AT1G10585	0
AT1G10586	0
AT1G10588	0
AT1G10590	1334
AT1G10600	200
AT1G10610	161
AT1G10620	0
AT1G10630	1346
AT1G10640	695
AT1G10650	880
AT1G10652	0
AT1G10657	65
AT1G10660	1299
AT1G10670	3855
AT1G10680	0
AT1G10682	2358
AT1G10690	86
AT1G10700	228
AT1G10710	0
AT1G10717	0
AT1G10720	631
AT1G10730	127
AT1G10740	2308
AT1G10745	0
AT1G10747	0
AT1G10750	50
AT1G10760	1429
AT1G10770	0
AT1G10780	69
AT1G10790	8
AT1G10800	18
AT1G10810	9
AT1G10820	429
AT1G10830	254
AT1G10840	1637
AT1G10850	1078
AT1G10865	204
AT1G10870	661
AT1G10880	1
AT1G10890	1171
AT1G10900	520
AT1G10910	798
AT1G10920	49
AT1G10930	338
AT1G10940	1836
AT1G10950	2529
AT1G10960	12043
AT1G10970	75
AT1G10980	0
AT1G10990	96
AT1G11000	383
AT1G11010	0
AT1G11020	262
AT1G11030	0
AT1G11040	1
AT1G11050	235
AT1G11060	368
AT1G11070	11
AT1G11080	43
AT1G11090	141
AT1G11100	99
AT1G11110	0
AT1G11112	1
AT1G11120	209
AT1G11125	14
AT1G11130	137
AT1G11145	0
AT1G11160	17
AT1G11170	62
AT1G11175	208
AT1G11180	247
AT1G11185	16
AT1G11190	114
AT1G11200	181
AT1G11210	35
AT1G11220	21
AT1G11230	0
AT1G11240	261
AT1G11250	3
AT1G11260	2377
AT1G11270	84
AT1G11280	551
AT1G11290	67
AT1G11300	158
AT1G11310	1546
AT1G11320	56
AT1G11330	42
AT1G11340	18
AT1G11350	222
AT1G11360	690
AT1G11362	2
AT1G11370	1
AT1G11380	333
AT1G11390	341
AT1G11400	544
AT1G11410	340
AT1G11420	47
AT1G11430	1127
AT1G11440	220
AT1G11450	114
AT1G11460	4
AT1G11470	0
AT1G11475	123
AT1G11480	1646
AT1G11490	3
AT1G11500	3
AT1G11510	0
AT1G11520	0
AT1G11530	269
AT1G11540	50
AT1G11545	1908
AT1G11550	0
AT1G11560	0
AT1G11570	16
AT1G11572	1
AT1G11580	1284
AT1G11590	0
AT1G11592	280
AT1G11593	0
AT1G11600	910
AT1G11608	0
AT1G11610	0
AT1G11620	0
AT1G11630	95
AT1G11640	0
AT1G11650	4227
AT1G11655	0
AT1G11660	669
AT1G11670	751
AT1G11680	1735
AT1G11684	0
AT1G11690	0
AT1G11700	308
AT1G11710	64
AT1G11720	974
AT1G11730	26
AT1G11735	29
AT1G11740	241
AT1G11750	881
AT1G11755	137
AT1G11760	119
AT1G11765	0
AT1G11770	0
AT1G11780	159
AT1G11785	8
AT1G11790	245
AT1G11800	102
AT1G11810	0
